Journal,Category,Title,First Published,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Cover Image,Altered Complexity of Spontaneous Brain Activity in Schizophrenia and Bipolar Disorder Patients,11 July 2021,https://doi.org/10.1002/jmri.27229
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Issue Information,Issue Information,11 July 2021,https://doi.org/10.1002/jmri.27230
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Commentary,On Health Care Disparities and (J)MRI,22 May 2021,https://doi.org/10.1002/jmri.27728
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",CME Article,Update on MRI of Cystic Renal Masses Including Bosniak Version 2019,02 October 2020,https://doi.org/10.1002/jmri.27364
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Review Articles,"Prospective Deployment of Deep Learning in MRI: A Framework for Important Considerations, Challenges, and Recommendations for Best Practices",24 August 2020,https://doi.org/10.1002/jmri.27331
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Review Articles,Low-Field MRI of Stroke: Challenges and Opportunities,22 August 2020,https://doi.org/10.1002/jmri.27324
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Review Articles,The Many Faces of Pediatric Chronic Recurrent Multifocal Osteomyelitis (CRMO): A Practical Location- and Case-Based Approach to Differentiate CRMO From Its Mimics,25 August 2020,https://doi.org/10.1002/jmri.27299
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Whole Body,Metastatic Diffusion Volume Based on Apparent Diffusion Coefficient as a Prognostic Factor in Castration-Resistant Prostate Cancer,11 March 2021,https://doi.org/10.1002/jmri.27596
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Metastatic Diffusion Volume Based on Apparent Diffusion Coefficient as a Prognostic Factor in Castration-Resistant Prostate Cancer”,28 March 2021,https://doi.org/10.1002/jmri.27622
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Cardiac,Quantification of Myocardial Creatine and Triglyceride Content in the Human Heart: Precision and Accuracy of in vivo Proton Magnetic Resonance Spectroscopy,10 February 2021,https://doi.org/10.1002/jmri.27531
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Cardiac,Cardiac T1 and T2 Mapping Showed Myocardial Involvement in Recovered COVID-19 Patients Initially Considered Devoid of Cardiac Damage,16 February 2021,https://doi.org/10.1002/jmri.27534
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Cardiac,Performance of Synthetic Extracellular Volume Fraction in Different Cardiac Phenotypes From a Prospective Cohort of Patients Referred for Cardiac Magnetic Resonance,15 February 2021,https://doi.org/10.1002/jmri.27556
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Cardiac,Retrospective Camera-Based Respiratory Gating in Clinical Whole-Heart 4D Flow MRI,10 March 2021,https://doi.org/10.1002/jmri.27564
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Pelvis,Deep Learning Whole-Gland and Zonal Prostate Segmentation on a Public MRI Dataset,26 February 2021,https://doi.org/10.1002/jmri.27585
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Editorial,Editorial for “Deep Learning Whole-Gland and Zonal Prostate Segmentation on a Public MRI Dataset”,30 May 2021,https://doi.org/10.1002/jmri.27748
" Journal of Magnetic Resonance Imaging: Vol 54, No 2",Original Research: Pelvis,A Deep Learning Approach to Diagnostic Classification of Prostate Cancer Using Pathology–Radiology Fusion,14 March 2021,https://doi.org/10.1002/jmri.27599
