Journal,Category,Title,First Published,DOI
" Magnetic Resonance in Medicine: Vol 86, No 2",Cover Image,Synchrotron X-ray micro-CT as a validation dataset for diffusion MRI in whole mouse brain,24 April 2021,https://doi.org/10.1002/mrm.28817
" Magnetic Resonance in Medicine: Vol 86, No 2",Issue Information,Issue Information,24 April 2021,https://doi.org/10.1002/mrm.28371
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPER—SPECTROSCOPIC METHODOLOGY,Calibration-free regional RF shims for MRS,21 March 2021,https://doi.org/10.1002/mrm.28749
" Magnetic Resonance in Medicine: Vol 86, No 2",RAPID COMMUNICATIONS—IMAGING METHODOLOGY,High-resolution sodium imaging using anatomical and sparsity constraints for denoising and recovery of novel features,25 March 2021,https://doi.org/10.1002/mrm.28767
" Magnetic Resonance in Medicine: Vol 86, No 2",RAPID COMMUNICATIONS—IMAGING METHODOLOGY,Motion-compensated 3D turbo spin-echo for more robust MR intracranial vessel wall imaging,25 March 2021,https://doi.org/10.1002/mrm.28777
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,High spatial resolution spiral first-pass myocardial perfusion imaging with whole-heart coverage at 3 T,11 March 2021,https://doi.org/10.1002/mrm.28701
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,All-systolic first-pass myocardial rest perfusion at a long saturation time using simultaneous multi-slice imaging and compressed sensing acceleration,10 March 2021,https://doi.org/10.1002/mrm.28712
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Apparent exchange rate imaging: On its applicability and the connection to the real exchange rate,10 March 2021,https://doi.org/10.1002/mrm.28714
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Imperfect spoiling in variable flip angle T1 mapping at 7T: Quantifying and minimizing impact,01 March 2021,https://doi.org/10.1002/mrm.28720
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,MRzero - Automated discovery of MRI sequences using supervised learning,23 March 2021,https://doi.org/10.1002/mrm.28727
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Prospective motion detection and re-acquisition in diffusion MRI using a phase image–based method—Application to brain and tongue imaging,04 March 2021,https://doi.org/10.1002/mrm.28729
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Efficient whole-brain tract-specific T1 mapping at 3T with slice-shuffled inversion-recovery diffusion-weighted imaging,21 March 2021,https://doi.org/10.1002/mrm.28734
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Time dependence in diffusion MRI predicts tissue outcome in ischemic stroke patients,23 March 2021,https://doi.org/10.1002/mrm.28743
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Quasi–steady-state CEST (QUASS CEST) solution improves the accuracy of CEST quantification: QUASS CEST MRI-based omega plot analysis,10 March 2021,https://doi.org/10.1002/mrm.28744
" Magnetic Resonance in Medicine: Vol 86, No 2",FULL PAPERS—IMAGING METHODOLOGY,Trading off spatio-temporal properties in 3D high-speed fMRI using interleaved stack-of-spirals trajectories,10 March 2021,https://doi.org/10.1002/mrm.28742
